DocNames,Ott-Tribe Negotiations,Tun-Alg Conflict,Public Works,Internal Discord,French Concess,Rebellions,Lead & Trans,Malfeasance,Religion & Gov,Battle of Con.,Eng Bomb_BadGov
gaid-33.txt,0.000441,0.002905,0.000073,0.000165,0.312746,0.117234,0.532549,0.000346,0.013055,0.020393,0.000093
gaid-34.txt,0.000385,0.275477,0.000064,0.000145,0.000249,0.1601,0.558389,0.002521,0.002528,0.000062,0.000081
gaid-35.txt,0.372417,0.00065,0.00013,0.000295,0.050361,0.000675,0.392649,0.000617,0.181913,0.000126,0.000166
gaid-36.txt,0.037344,0.030846,0.006168,0.014008,0.239193,0.032047,0.567327,0.029267,0.029907,0.005998,0.007896
gaid-37.txt,0.014552,0.113372,0.000356,0.000808,0.001391,0.163038,0.70227,0.001687,0.001724,0.000346,0.000455
gaid-38.txt,0.000983,0.000812,0.005823,0.000369,0.21575,0.119723,0.501772,0.012092,0.14231,0.000158,0.000208
gaid-39.txt,0.277409,0.285416,0.000046,0.000105,0.000181,0.00024,0.424777,0.000219,0.011503,0.000045,0.000059
gaid-40.txt,0.030734,0.025386,0.005077,0.011529,0.019857,0.026375,0.820909,0.024087,0.024613,0.004936,0.006498
gaid-41.txt,0.037344,0.030846,0.006168,0.014008,0.024128,0.032047,0.567327,0.029267,0.029907,0.005998,0.222961
gaid-42.txt,0.389267,0.004936,0.000124,0.000281,0.000484,0.000643,0.456024,0.147361,0.0006,0.00012,0.000158
gaid-43.txt,0.503745,0.000633,0.000127,0.000287,0.000495,0.000657,0.492557,0.0006,0.000614,0.000123,0.000162
gaid-44.txt,0.037344,0.030846,0.006168,0.014008,0.024128,0.032047,0.782392,0.029267,0.029907,0.005998,0.007896
gaid-45.txt,0.030734,0.025386,0.005077,0.011529,0.019857,0.026375,0.820909,0.024087,0.024613,0.004936,0.006498
mercier-00.txt,0.000428,0.195103,0.000071,0.002626,0.000277,0.000367,0.598146,0.000335,0.202488,0.000069,0.000091
mercier-01.txt,0.207733,0.025386,0.005077,0.011529,0.019857,0.026375,0.466911,0.024087,0.024613,0.004936,0.183497
mercier-02.txt,0.000483,0.047667,0.005641,0.000181,0.311726,0.000414,0.580114,0.053208,0.000387,0.000078,0.000102
mercier-03.txt,0.401531,0.002946,0.000039,0.00009,0.000154,0.000205,0.422783,0.171973,0.000191,0.000038,0.00005
