Id,Label,Arabic Name,Gender,Ethnicity,Named,Tribal Affiliation
00051,Ferhat Bey,فرحات باي,Man,Ottoman,Named,NA
00052,Daughter of Soultan ben Menasser,Unknown,Woman,Algerian,Referenced,Henanecha
00053,Hassen ben Bou-Henak,Unknown,Man,Kulughlu,Named,Unknown
00054,Ali,Unknown,Man,Ottoman,Named,NA
00055,Wife2 of Salah Bey,Unknown,Woman,Algerian,Referenced,Unknown
00056,Bou-Remane,Unknown,Man,Algerian,Named,Unknown
00057,Farhate,Unknown,Man,Algerian,Named,Unknown
00058,Daughter of Brahim ben Bou-Aziz,Unknown,Woman,Algerian,Referenced,Henanecha
00059,Wife2 of Salah Bey,Unknown,Woman,Algerian,Referenced,Unknown
00060,Wife of Mohammed-El-Kebir,Unknown,Woman,Algerian,Inference,Unknown
00061,Mohammed,Unknown,Man,Kulughlu,Named,Unknown
00062,Bou-Diaf,Unknown,Man,Algerian,Named,Unknown
00063,Moustafa-El-Ouznadji,مصطفى الوزناجي,Man,Algerian,Named,Unknown
00064,Ahmed-Tobbal, أحمد طوبال باي,Man,Ottoman,Named,NA
00065,Hassen,Unknown,Man,Ottoman,Named,NA
00066,Ali ben Salah Bey,علي بن صالح باي,Man,Kulughlu,Named,Unknown
00067,M’hammed-Manamanni, محمد محمدي باي بن خان,Man,Ottoman,Named,NA
00068,Mohammed bey El-Mili Ben Daoud,محمد باي بن داود الميلي بوشطابي,Man,Ottoman,Named,NA
00069,Chabane-Bey,شعبان باي,Man,Ottoman,Named,NA
00070,M’hammed-Tchaker-Bey,محمد شاكر باي,Man,Ottoman,Named,NA
00071,Farhate ben Ahmed ben Sakheri,Unknown,Man,Algerian,Named,Daouaouida
00072,Ali-Bitchenin,Unknown,Man,Algerian,Named,Unknown
00073,Wife3 of Salah Bey,Unknown,Woman,Algerian,Referenced,Unknown
00074,Euldjia bint Bou Aziz ben Nacer,Unknown,Woman,Algerian,Named,Henanecha
00075,Mohammed Bou-Gouffa,Unknown,Man,Algerian,Named,Daouaouida
00076,Mebarka,Unknown,Woman,Algerian,Named,Ben Gana
00077,Daughter of Salah Bey,Unknown,Woman,Kulughlu,Referenced,Unknown
00078,El-Yezid,Unknown,Man,Moroccan,Named,Unknown
00080,Ibrahim bey El Euldj,إبراهيم العلج باي,Man,European,Named,NA
00081,Abd-el-Rahman Dali Bey,عبد الرحمان دالي باي,Man,Ottoman,Named,NA
00082,Ibrahim-Bou-Seba,براهم باي بو اصبع,Man,Ottoman,Named,NA
00083,Moustafa-Engliz-Bey,الحاج مصطفى,Man,Ottoman,Named,NA
00084,Ibrahim Bey Ben Ali El-Critli,إبراهيم باي القرتلي,Man,Ottoman,Named,NA
00085,Braham-Bey-El-Rarbi,إبراهيم خوجة باي الغربي,Man,Ottoman,Named,NA
00086,Kara-Moustafa,قارة مصطفى باي,Man,Ottoman,Named,NA
00087,Safia,Unknown,Woman,European,Named,NA
00088,Kheir-Ed-Dine-Bey,خير الدين باي,Man,Unknown,Named,Unknown
00089,Amokrane,Unknown,Man,Algerian,Named,Muqrani
00090,Daughter of Bou-Aziz,Unknown,Woman,Algerian,Referenced,Henanecha
00091,Hassein-Bey,Unknown,Man,Unknown,Named,Unknown
00092,Sheikh des Ourzifa,Unknown,Man,Algerian,Named,Unknown
00093,Keliane Hassein-Bey Bou Kemia,عليان باي بوخيمة,Man,Ottoman,Named,NA
00094,Bouzid,Unknown,Man,Ottoman,Named,NA
00095,Sheikh El-Arab Ali-Bou-Akkaz,Unknown,Man,Algerian,Named,Daouaouida
00096,Brahim ben Bou-Aziz,Unknown,Man,Algerian,Named,Henanecha
00097,Mohammed-El-Kebir,Unknown,Man,Ottoman,Named,NA
00098,Tatar Mohammed,Unknown,Man,Unknown,Named,Unknown
00099,Bou-Aziz,Unknown,Man,Algerian,Named,Henanecha
00100,Sultan de Maroc,Unknown,Man,Moroccan,Referenced,Unknown
00101,Baba-Hassan,Unknown,Man,Unknown,Named,Unknown
00102,Ben-Kara-Ali,Unknown,Man,Ottoman,Named,NA
00103,Constantinian Woman,Unknown,Woman,Algerian,Referenced,Unknown
00104,Hamoud,Unknown,Man,Kulughlu,Named,Unknown
00105,Fatima,Unknown,Woman,Algerian,Named,Unknown
00106,Wife1 of Ferhat Ben Mourad,Unknown,Woman,Ottoman,Inference,NA
00107,Wife2 of Ferhat Ben Mourad,Unknown,Woman,Ottoman,Inference,NA
00108,Daughter of Si Sadira,Unknown,Woman,Algerian,Referenced,Unknown
00109,Si Sadira,Unknown,Man,Algerian,Named,Awlâd Balqâsam
00110,Daughter of Bou-Diaf,Unknown,Woman,Algerian,Referenced,Awlâd Balqâsam
00112,Redjradja,Unknown,Woman,Algerian,Named,Ouled-Haddad
00113,Mohamed ben Ahmed ben Sakheri,Unknown,Man,Algerian,Named,Daouaouida
00114,Fatma El Belilia bint Redjradja,Unknown,Woman,Algerian,Named,Daouaouida
00126,Mohammed Chérif,Unknown,Man,Algerian,Named,Daouaouida
00115,Deïkha,Unknown,Woman,Kulughlu,Named,Unknown
00116,Wife of Moustafa-Engliz-Bey,Unknown,Woman,Algerian,Inference,Unknown
00117,Wife of Bou-Diaf,Unknown,Woman,Algerian,Inference,Unknown
00118,Sheikh El-Arab Debbah,Unknown,Man,Algerian,Referenced,Unknown
00119,Mohammed Bey El-Tunisi,Unknown,Man,Tunisian,Named,Unknown
00120,Rokeia,Unknown,Woman,Algerian,Named,Unknown
00121,Mourad Bey El Tunisi,Unknown,Man,Tunisian,Named,Unknown
00122,Mohammed Ben Gana,Unknown,Man,Algerian,Named,Ben Gana
00123,Mohammed ben Hassein-Bey,Unknown,Man,Unknown,Named,Unknown
00124,Mahmoud ben M’hammed-Tchaker-Bey,Unknown,Man,Kulughlu,Named,Unknown
00125,Ahmed-ben-Ramdan,Unknown,Man,Algerian,Named,Unknown
00127,Ali-Bey ben Bouzid,Unknown,Man,Algerian,Named,Unknown
00128,Wife of Amokrane,Unknown,Woman,Algerian,Inference,Unknown
00129,Wife of Hassein-Bey,Unknown,Woman,Unknown,Inference,Unknown
00130,Wife of Ali-Pacha El Tunisi,Unknown,Woman,Tunisian,Inference,Unknown
00131,Wife of Hamouda-Bey,Unknown,Woman,Algerian,Inference,Unknown
00132,Wife of Ibrahim Bey Ben Ali El-Critli,Unknown,Woman,Algerian,Inference,Unknown
00133,Wife of Bouzid,Unknown,Woman,Algerian,Inference,Unknown
00134,Turkish Wife of Ahmed-El-Kolli,Unknown,Woman,Ottoman,Inference,NA
00135,Wife of M’hammed-Tchaker-Bey,Unknown,Woman,Algerian,Inference,Unknown
00136,Wife of Ali ben Salah Bey,Unknown,Woman,Algerian,Inference,Unknown
00137,Wife of Mourad,Unknown,Woman,Ottoman,Inference,NA
00138,Wife of Sheikh Al-Arab Debbah,Unknown,Woman,Algerian,Inference,Unknown
00139,Wife of Si Sadira,Unknown,Woman,Algerian,Inference,Unknown
00140,Wife of Brahim ben Bou-Aziz,Unknown,Woman,Algerian,Inference,Unknown
00141,Wife of Bou-Aziz,Unknown,Woman,Algerian,Inference,Unknown
00142,Hassan Basha,Unknown,Man,Kulughlu,Named,Unknown
00143,El Euldj Ali Pasha,Unknown,Man,European,Named,NA
00144,al-hadj ibn Bou-Zeyyid al Muqrani,Unknown,Man,Algerian,Named,Unknown
00145,Daughter2 of Salah Bey,Unknown,Woman,Ottoman-European,Referenced,NA
00146,Ahmed Zouaoui Ben Djelloul,Unknown,Man,Algerian,Named,Unknown
00147,Aisha bint Hossein Bey Zereg Ainou,Unknown,Woman,Kulughlu,Named,Unknown
00148,Sheikh Farhate ben Said,Unknown,Man,Algerian,Named,Bu' Akkaz Family
00149,Daughter of Sheikh Farhate ben Said,Unknown,Woman,Algerian,Referenced,Unknown
00150,Son1 of Ahmed-El-Kolli,Unknown,Man,Ottoman,Referenced,NA
00151,Son2 of Ahmed-El-Kolli,Unknown,Man,Ottoman,Referenced,NA
00152,Son3 of Ahmed-El-Kolli,Unknown,Man,Ottoman,Referenced,NA
00153,Si Brahim Ben Djellab de Touggourt,Unknown,Man,Algerian,Named,Ben Djellab
00154,Mohammed ben Salah Bey,Unknown,Man,Kulughlu,Named,Unknown
00155,Son2 of Salah Bey,Unknown,Man,Ottoman-European,Referenced,NA
00156,Son3 of Salah Bey,Unknown,Man,Ottoman-European,Referenced,NA
00157,Daughter3 of Salah Bey,Unknown,Woman,Ottoman-European,Referenced,NA
00158,Daughter4 of Salah Bey,Unknown,Woman,Ottoman-European,Referenced,NA
00159,Daughter5 of Salah Bey,Unknown,Woman,Ottoman-European,Referenced,NA
00160,Daughter6 of Salah Bey,Unknown,Woman,Ottoman-European,Referenced,NA
00161,Daughter7 of Salah Bey,Unknown,Woman,Ottoman-European,Referenced,NA
00162,Daughter8 of Salah Bey,Unknown,Woman,Ottoman-European,Referenced,NA
00163,Daughter9 of Salah Bey,Unknown,Woman,Ottoman-European,Referenced,NA
